gene	A	B	C	D	E
Skcos10421	115	52	84	183	95
Skcos10422	14	15	14	33	15
Skcos10423	5	0	3	6	0
Skcos10424	8	1	3	9	1
Skcos10425	5	0	0	2	1
Skcos10426	440	375	426	1613	670
Skcos10427	1	0	0	0	2
Skcos10428	4	0	0	7	0
Skcos10429	23	3	8	15	5
Skcos1043	1	0	1	5	2
Skcos10430	37	19	16	51	37
Skcos10431	1	1	0	1	3
Skcos10432	0	0	0	0	0
Skcos10433	160	111	119	165	186
Skcos10434	28	10	7	34	8
Skcos10435	92	68	90	126	93
Skcos10436	1	0	0	2	0
Skcos10437	2	0	2	3	3
Skcos10438	10	5	8	10	7
Skcos10439	0	0	0	0	0
Skcos1044	0	2	0	0	0
Skcos10440	26	2	2	24	1
Skcos10441	140	96	115	372	118
Skcos10442	14	3	4	19	2
Skcos10443	17	5	6	33	9
Skcos10444	4	1	0	5	1
Skcos10445	0	0	1	0	0
Skcos10446	83	12	10	90	12
Skcos10447	90	32	36	90	39
Skcos10448	868	719	915	501	855
Skcos10449	1	3	2	2	6
Skcos1045	0	0	2	0	0
Skcos10450	11	2	4	12	1
Skcos10451	231	10	18	219	19
Skcos10452	36	1	9	40	6
Skcos10453	167	68	96	138	133
Skcos10454	19	0	7	17	12
Skcos10455	351	224	316	417	413
Skcos10456	36	8	9	19	1
Skcos10457	180	110	112	149	196
Skcos10458	243	153	225	226	285
Skcos10459	118	55	51	115	81
Skcos1046	1	1	0	2	0
Skcos10460	6	2	3	7	3
Skcos10461	35	6	14	35	7
Skcos10462	42	12	10	63	10
Skcos10463	49	15	6	63	14
Skcos10464	44	10	15	70	27
Skcos10465	4	1	0	5	0
Skcos10466	2	0	1	2	0
Skcos10467	5	2	2	13	1
Skcos10468	13	4	2	7	0
Skcos10469	0	0	0	0	0
Skcos1047	48	38	49	54	70
Skcos10470	0	0	0	0	0
Skcos10471	0	0	0	0	0
Skcos10472	0	0	0	0	0
Skcos10473	1	0	0	0	0
Skcos10474	0	0	0	0	0
Skcos10475	12	0	1	10	1
Skcos10476	3	0	0	5	0
Skcos10477	0	0	0	1	0
Skcos10478	1	0	0	0	0
Skcos10479	5	1	0	6	2
Skcos1048	13	4	10	8	10
Skcos10480	31	4	4	27	15
Skcos10481	48	8	22	39	38
Skcos10482	41	7	11	50	11
Skcos10483	17	9	4	21	4
Skcos10484	0	0	0	0	0
Skcos10485	535	276	244	937	337
Skcos10486	6	1	2	11	4
Skcos10487	4	0	1	5	1
Skcos10488	1	0	0	0	0
Skcos10489	7	1	0	9	1
Skcos1049	8	1	3	2	4
Skcos10490	0	0	0	0	0
Skcos10491	3	1	1	9	1
Skcos10492	0	1	3	2	1
Skcos10493	3	1	1	0	1
Skcos10494	10	11	5	22	2
Skcos10495	0	0	0	0	0
Skcos10496	0	0	0	2	0
Skcos10497	2	0	0	1	0
Skcos10498	3	0	0	0	0
Skcos10499	2	1	1	3	1
Skcos105	4	1	0	10	1
Skcos1050	0	0	0	0	0
Skcos10500	8	6	1	11	2
Skcos10501	1	0	1	0	0
Skcos10502	4	0	0	4	0
Skcos10503	11	0	1	3	0
Skcos10504	0	0	0	0	0
Skcos10505	15	2	0	2	0
Skcos10506	14	6	7	11	4
Skcos10507	0	0	0	0	0
Skcos10508	2	2	1	1	2
Skcos10509	0	0	0	2	0
Skcos1051	317	7	5	110	8
Skcos10510	4	3	0	6	2
Skcos10511	9	1	5	2	3
Skcos10512	0	0	0	1	0
Skcos10513	0	1	0	0	0
Skcos10514	4	0	1	11	2
Skcos10515	13	2	0	11	0
Skcos10516	28	4	10	1	1
Skcos10517	0	1	0	4	0
