geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt13487	0.00015384615384615382	0.0007903055848261329	0.00017403411068569438	0.0	0.0002805836139169473	0.0	0.0	0.00045475216007276033	0.000352112676056338	0.0003885003885003885
Throt13486	0.00015384615384615382	0.0	0.00017403411068569438	0.00043994720633523974	0.0002805836139169473	0.0002195389681668496	0.0004177109440267335	0.00045475216007276033	0.0	0.0
Throt13485	0.0016923076923076922	0.0050052687038988405	0.0040027845457709715	0.0008798944126704795	0.0016835016835016834	0.005488474204171241	0.003341687552213868	0.005002273760800364	0.002112676056338028	0.0003885003885003885
Throt13484	0.0	0.0	0.00034806822137138876	0.0	0.0	0.0002195389681668496	0.0	0.0	0.0	0.0
Throt13483	0.0012307692307692306	0.0007903055848261329	0.0	0.001319841619005719	0.0	0.0002195389681668496	0.0	0.00045475216007276033	0.000352112676056338	0.0
Throt13482	0.00015384615384615382	0.001053740779768177	0.0	0.00043994720633523974	0.0	0.0	0.0	0.0	0.0	0.0
Throt13481	0.0	0.0018440463645943098	0.0	0.0	0.0	0.0002195389681668496	0.0004177109440267335	0.0	0.0	0.000777000777000777
Throt13480	0.00015384615384615382	0.0	0.00017403411068569438	0.00043994720633523974	0.0002805836139169473	0.0006586169045005489	0.0012531328320802006	0.00045475216007276033	0.0	0.0003885003885003885
Throt18095	0.0	0.001053740779768177	0.00034806822137138876	0.00043994720633523974	0.0002805836139169473	0.0	0.0004177109440267335	0.0	0.000352112676056338	0.0003885003885003885
Throt13489	0.0	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt13488	0.0006153846153846153	0.0005268703898840885	0.0	0.0	0.0002805836139169473	0.0	0.0	0.0	0.000352112676056338	0.0
Throt18097	0.0	0.0	0.0	0.0	0.0	0.0	0.0004177109440267335	0.0	0.0	0.0
Throt18096	0.0	0.0005268703898840885	0.0	0.0	0.0	0.0002195389681668496	0.0	0.0	0.000352112676056338	0.0
Throt20609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt10598	0.0	0.0005268703898840885	0.0	0.0	0.0005611672278338945	0.0010976948408342483	0.0004177109440267335	0.0	0.000352112676056338	0.0003885003885003885
Throt10599	0.0	0.00026343519494204424	0.0	0.0	0.0	0.0	0.0	0.00045475216007276033	0.000352112676056338	0.0
Throt1359	0.00030769230769230765	0.027660695468914646	0.0017403411068569441	0.001319841619005719	0.0005611672278338945	0.0013172338090010978	0.0	0.0009095043201455207	0.0017605633802816897	0.0011655011655011655
Throt1358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt1355	0.0010769230769230769	0.005268703898840885	0.002088409328228333	0.002199736031676199	0.0028058361391694727	0.0015367727771679475	0.001670843776106934	0.002728512960436562	0.0038732394366197184	0.002331002331002331
Throt1354	0.00015384615384615382	0.00026343519494204424	0.0	0.001319841619005719	0.0002805836139169473	0.0013172338090010978	0.000835421888053467	0.0	0.002464788732394366	0.0
Throt10592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt10593	0.00030769230769230765	0.0	0.0008701705534284721	0.0	0.0	0.0002195389681668496	0.0	0.0	0.0	0.0
Throt10594	0.0012307692307692306	0.002370916754478398	0.0008701705534284721	0.0	0.0005611672278338945	0.0006586169045005489	0.0	0.00045475216007276033	0.000352112676056338	0.0
Throt10595	0.0	0.00026343519494204424	0.0	0.00043994720633523974	0.0002805836139169473	0.0	0.0	0.0	0.0	0.0
Throt10596	0.016307692307692308	0.0184404636459431	0.029411764705882353	0.024637043554773426	0.019360269360269362	0.010098792535675083	0.025480367585630742	0.026375625284220102	0.021478873239436615	0.018259518259518263
Throt10597	0.0	0.0	0.00034806822137138876	0.0	0.0	0.0002195389681668496	0.0	0.0	0.000704225352112676	0.0
Throt20908	0.0	0.0	0.00017403411068569438	0.00043994720633523974	0.0002805836139169473	0.0002195389681668496	0.000835421888053467	0.00045475216007276033	0.0	0.000777000777000777
Throt17906	0.0	0.0007903055848261329	0.0	0.0	0.0	0.0004390779363336992	0.0	0.0	0.0	0.0
Throt8339	0.0	0.00026343519494204424	0.00034806822137138876	0.0	0.0	0.0	0.0	0.0	0.000352112676056338	0.0
Throt17904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt17905	0.0	0.001053740779768177	0.00017403411068569438	0.0	0.0002805836139169473	0.0	0.000835421888053467	0.0	0.0	0.0
Throt17902	0.0	0.0015806111696522658	0.0	0.0	0.0	0.0004390779363336992	0.0004177109440267335	0.0	0.001056338028169014	0.0
Throt17903	0.0	0.0007903055848261329	0.0	0.0	0.0	0.0004390779363336992	0.0004177109440267335	0.0	0.001056338028169014	0.0
Throt17900	0.0	0.0005268703898840885	0.0	0.0	0.0	0.0	0.0	0.0	0.001056338028169014	0.0
Throt17901	0.0	0.00026343519494204424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8331	0.0	0.002897787144362487	0.00017403411068569438	0.0	0.0002805836139169473	0.0	0.0	0.00045475216007276033	0.000704225352112676	0.0
Throt8332	0.010307692307692306	0.04531085353003161	0.013400626522798468	0.007479102507699077	0.00925925925925926	0.008562019758507136	0.02046783625730994	0.022737608003638016	0.008098591549295773	0.018648018648018648
Throt8333	0.008769230769230769	0.017123287671232876	0.013922728854855553	0.010118785745710516	0.004489337822671156	0.004390779363336993	0.015455304928989137	0.01273306048203729	0.006338028169014084	0.006993006993006993
Throt8334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
