gID	Old Seq Name	Description
Throt5927	Locus4902v1rpkm21.22	Locus4902v1rpkm21.22
Throt5928	Locus4903v1rpkm21.21	Locus4903v1rpkm21.21
Throt5929	Locus4904v1rpkm21.21	Locus4904v1rpkm21.21
Throt5930	Locus4905v1rpkm21.21	Locus4905v1rpkm21.21
Throt5931	Locus4906v1rpkm21.21	Locus4906v1rpkm21.21
Throt5932	Locus4907v1rpkm21.21	Locus4907v1rpkm21.21
Throt5933	Locus4908v1rpkm21.20	Locus4908v1rpkm21.20
Throt5934	Locus4909v1rpkm21.20	Locus4909v1rpkm21.20
Throt5935	Locus4910v1rpkm21.20	Locus4910v1rpkm21.20
Throt5936	Locus4911v1rpkm21.20	Locus4911v1rpkm21.20
Throt5937	Locus4912v1rpkm21.18	Locus4912v1rpkm21.18
Throt5938	Locus4912v2rpkm2.10_PRE	Locus4912v2rpkm2.10_PRE
Throt5939	Locus4913v1rpkm21.18	Locus4913v1rpkm21.18
Throt5940	Locus4914v1rpkm21.17	Locus4914v1rpkm21.17
Throt5941	Locus4915v1rpkm21.17	Locus4915v1rpkm21.17
Throt5942	Locus4916v1rpkm21.17	Locus4916v1rpkm21.17
Throt5943	Locus4917v1rpkm21.16	Locus4917v1rpkm21.16
Throt5944	Locus4917v2rpkm6.54	Locus4917v2rpkm6.54
Throt5945	Locus4917v3rpkm1.98_PRE	Locus4917v3rpkm1.98_PRE
Throt5946	Locus4918v1rpkm21.16	Locus4918v1rpkm21.16
Throt5947	Locus4919v1rpkm21.16	Locus4919v1rpkm21.16
Throt5948	Locus4919v2rpkm0.59_PRE	Locus4919v2rpkm0.59_PRE
Throt5949	Locus4920v1rpkm21.16	Locus4920v1rpkm21.16
Throt5950	Locus4921v1rpkm21.16	Locus4921v1rpkm21.16
Throt5951	Locus4922v1rpkm21.15	Locus4922v1rpkm21.15
Throt5952	Locus4922v2rpkm2.65	Locus4922v2rpkm2.65
Throt5953	Locus4923v1rpkm21.15	Locus4923v1rpkm21.15
Throt5954	Locus4924v1rpkm21.15	Locus4924v1rpkm21.15
Throt5955	Locus4925v1rpkm21.15	Locus4925v1rpkm21.15
Throt5956	Locus4926v1rpkm21.14	Locus4926v1rpkm21.14
Throt5957	Locus4927v1rpkm21.13	Locus4927v1rpkm21.13
