geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt11396	1	2	0	0	0	0	0	0	1	0
Throt11399	0	0	0	1	0	1	0	0	2	0
Throt11398	1	3	0	1	2	4	0	2	0	1
Throt10046	12	10	6	0	6	2	1	3	9	0
Throt10047	0	8	6	1	2	0	1	2	3	1
Throt10044	0	0	0	0	0	0	0	0	0	0
Throt10045	12	14	8	1	7	3	1	3	10	0
Throt10042	0	6	0	0	0	2	0	0	0	0
Throt10043	13	4	2	1	1	0	0	0	0	0
Throt10040	0	6	0	0	0	1	0	1	1	0
Throt10041	0	0	0	0	0	0	0	0	0	0
Throt10048	0	7	3	2	0	2	2	2	2	3
Throt10049	0	1	1	0	0	1	0	0	1	1
Throt15678	0	1	0	0	0	0	0	0	0	0
Throt15679	0	3	0	0	0	0	0	0	0	0
Throt15676	1	0	0	0	0	0	0	0	0	0
Throt15677	1	0	0	0	0	0	0	0	1	0
Throt15674	0	1	1	0	0	1	1	0	1	0
Throt15675	0	0	0	0	0	0	0	0	0	0
Throt15672	0	0	0	0	0	0	0	0	0	0
Throt15673	0	2	1	1	0	0	0	0	2	0
Throt15670	0	3	3	0	0	0	0	3	0	0
Throt15671	0	0	0	0	0	0	0	0	0	0
Throt22146	0	0	0	0	0	0	0	0	0	0
Throt22147	0	0	0	0	0	0	0	0	0	0
Throt77	6888	622	1302	957	1472	866	617	289	1228	480
Throt22145	0	0	0	0	0	0	0	0	0	0
Throt22142	0	0	0	0	1	0	0	0	0	0
Throt22143	0	0	0	0	0	0	0	0	0	0
Throt5658	25	40	48	6	11	21	21	15	9	10
Throt5659	0	0	0	0	0	0	0	0	0	0
Throt73	360	50	97	53	85	57	41	28	63	43
Throt5650	1	4	0	0	3	1	0	1	0	0
Throt5651	0	0	0	0	0	0	0	0	0	0
Throt5652	0	0	0	0	0	0	0	0	0	0
Throt5653	0	1	0	0	0	0	0	1	0	0
Throt5654	5	2	4	1	1	3	0	0	3	0
Throt5655	13	9	11	4	6	13	3	2	16	3
Throt5656	9	15	11	6	0	2	0	0	7	0
Throt5657	0	0	0	0	0	0	1	0	0	0
Throt6875	0	0	0	0	0	0	0	0	0	0
Throt6874	15964	21722	12833	5545	14099	5799	5602	8244	4493	7798
Throt2389	0	0	1	1	0	2	0	0	1	0
Throt2388	1253	2201	1637	572	771	721	756	765	435	778
Throt2383	0	0	0	0	0	0	0	0	0	0
Throt2382	0	11	1	0	0	1	0	0	1	0
Throt2381	0	1	2	2	0	1	0	1	0	2
Throt2380	1	5	1	1	1	0	0	0	1	0
Throt2387	0	5	0	0	0	2	0	0	4	0
Throt2386	2	1	3	1	0	0	0	1	0	0
Throt2385	2	10	2	4	0	1	0	0	2	1
Throt2384	0	0	0	0	0	0	0	0	0	0
Throt11809	0	2	0	0	0	0	0	0	1	0
Throt11808	0	2	0	0	0	0	1	0	2	0
Throt11801	5	11	3	2	3	1	1	1	3	2
Throt11800	343	738	641	102	136	374	284	292	126	267
Throt11803	0	10	1	1	4	0	0	1	0	0
Throt11802	3	5	1	0	2	3	3	0	5	1
Throt11805	3	4	1	1	2	1	2	3	2	0
Throt11804	9	11	1	1	4	5	0	0	1	1
Throt11807	49	66	70	25	44	28	26	36	32	34
Throt11806	5	0	0	0	0	0	0	0	0	0
Throt13098	5	28	3	2	10	1	0	3	0	0
Throt13099	0	0	1	0	0	0	0	0	4	1
Throt18113	0	4	0	0	0	1	1	0	1	1
Throt13094	2	4	2	0	0	0	0	0	0	0
Throt13095	0	1	2	0	0	0	0	0	0	0
Throt13096	0	0	1	0	2	0	0	0	0	0
Throt13097	0	0	1	0	0	0	0	0	2	0
Throt13090	2	6	2	1	6	4	3	3	2	2
Throt13091	0	1	0	0	1	0	0	0	0	0
Throt13092	921	1558	1294	463	994	495	511	591	410	642
Throt13093	2	4	0	0	0	1	0	0	0	0
Throt3160	1	34	9	1	0	23	4	9	8	6
Throt3161	0	1	0	0	0	0	0	1	0	0
Throt3162	1	0	3	0	3	2	1	0	5	1
Throt3163	0	0	0	0	0	0	0	0	0	0
Throt3164	8	27	10	4	4	7	4	4	11	2
Throt3165	18	27	9	4	4	7	3	5	5	3
Throt3166	4	1	6	0	1	2	3	0	2	1
Throt3167	44	50	27	2	11	10	4	3	10	2
Throt3168	0	0	0	0	0	0	0	0	0	0
Throt3169	0	4	0	0	0	1	0	0	0	0
Throt22267	0	0	0	0	0	0	0	0	0	0
Throt22266	0	0	0	0	0	0	0	0	0	0
Throt22265	0	0	0	0	0	0	0	0	0	0
Throt22264	1	0	1	0	0	0	0	0	0	0
Throt22263	0	0	0	0	0	0	0	0	0	0
Throt22262	0	0	0	0	0	0	0	0	0	0
Throt22261	0	0	0	0	0	0	0	0	0	0
Throt22260	876	48	137	96	118	74	66	45	57	40
Throt22269	0	0	0	0	0	0	0	0	0	0
Throt22268	0	0	0	0	0	0	0	0	0	0
Throt4240	4	5	4	2	4	1	1	0	1	0
Throt4241	0	0	0	0	0	0	0	0	0	0
Throt4242	0	0	1	0	0	0	0	0	0	0
Throt4243	0	0	0	0	1	3	0	0	4	0
Throt4244	8	14	5	2	2	4	4	0	3	2
Throt4245	0	5	0	0	0	3	0	0	2	0
Throt4246	0	4	0	0	0	0	0	0	2	0
Throt4247	9	39	3	1	0	1	4	0	3	0
Throt4248	1	1	0	1	0	1	0	0	0	2
Throt4249	0	3	0	0	0	1	0	0	2	0
Throt579	12	87	3	10	4	5	2	1	42	2
Throt578	12	11	15	3	3	1	0	1	1	2
Throt571	2	39	3	3	1	8	1	0	2	4
Throt570	2378	1883	138	272	1	40	21	18	52	8
Throt573	2	9	0	0	0	2	0	0	0	0
Throt572	0	0	0	0	0	0	0	0	0	0
Throt575	0	5	0	0	0	0	0	0	0	0
Throt574	0	0	0	0	0	0	0	0	0	0
Throt577	1	2	0	1	0	2	0	0	0	0
Throt576	43	32	9	6	6	4	2	1	2	1
Throt18039	1	2	1	0	0	0	0	0	0	1
Throt18038	0	6	0	0	0	1	0	0	2	0
Throt18033	0	1	0	0	0	0	0	0	0	0
Throt18032	0	1	0	0	0	0	0	0	0	0
Throt18031	0	1	0	0	0	0	0	0	0	0
Throt18030	0	3	0	0	0	0	0	0	0	0
Throt18037	0	2	1	1	0	0	0	0	1	0
Throt18036	0	0	0	3	0	0	0	0	0	0
Throt18035	0	0	0	0	0	0	0	0	0	0
Throt18034	0	0	0	0	0	0	0	0	0	0
Throt17649	0	6	1	0	0	0	0	0	0	0
Throt17648	0	1	0	0	0	0	1	0	0	0
Throt17647	2	0	1	0	0	0	0	0	0	2
Throt17646	0	0	0	0	0	0	0	0	0	0
Throt12473	2	24	11	5	9	8	3	2	4	4
Throt14837	0	0	0	0	0	0	0	0	0	0
Throt19800	0	11	0	2	6	0	0	1	5	4
Throt19803	0	0	1	1	0	0	0	0	0	1
Throt19802	0	0	0	0	0	0	0	0	1	0
Throt19805	931	1780	1706	250	536	903	774	834	252	452
Throt19804	115	171	95	46	119	99	35	95	27	92
Throt14831	0	0	0	1	0	1	0	0	0	0
Throt19806	0	7	0	2	0	0	0	1	0	0
Throt19809	0	1	0	0	1	0	1	1	1	0
Throt19808	0	0	0	0	0	0	0	0	0	0
Throt14839	233	485	312	98	252	116	120	158	85	149
Throt14838	3	13	1	2	4	4	2	2	1	1
Throt20742	0	0	0	0	0	0	0	0	0	0
Throt3362	0	5	0	1	0	5	0	0	2	0
Throt3363	0	2	1	0	0	1	0	0	0	0
Throt3360	0	4	0	1	0	0	0	0	0	0
Throt3361	0	11	6	0	2	2	1	2	0	0
Throt3366	6	6	3	1	1	0	0	1	2	1
Throt3367	5	5	3	1	0	0	0	0	2	1
Throt3364	1	2	0	1	1	1	0	0	1	0
Throt3365	0	1	0	0	0	1	0	0	0	0
Throt3368	0	4	0	0	0	0	0	0	0	4
Throt3369	1	1	2	1	0	0	0	0	0	0
Throt7847	43	76	73	20	35	17	31	17	22	20
Throt7846	4	8	3	0	0	0	0	0	2	0
Throt7845	649	1472	1246	201	272	686	550	581	212	531
Throt7844	0	0	0	0	0	0	0	0	0	0
Throt7843	0	1	0	0	0	0	0	0	0	0
Throt7842	0	2	0	0	0	0	0	0	0	0
Throt7841	0	1	1	0	0	0	2	1	0	2
Throt7840	1	1	0	1	2	1	0	0	0	0
Throt7849	1	10	0	2	6	0	0	2	1	0
Throt7848	7	3	1	0	7	6	1	2	9	4
Throt9997	0	0	0	0	0	0	0	0	0	0
Throt9996	0	4	0	0	1	0	0	1	0	0
Throt9995	1421	2380	1746	780	1508	1168	911	1121	542	1052
Throt9994	0	10	1	2	1	1	1	0	7	2
Throt9993	2	14	12	0	6	5	8	1	1	3
Throt9992	1	4	9	0	2	1	1	0	7	0
Throt9991	0	0	0	0	0	0	0	0	0	0
Throt9990	0	0	0	0	0	0	0	0	0	0
Throt9999	228	335	318	85	133	171	152	131	78	94
Throt9998	0	3	3	0	0	1	0	0	5	0
Throt6466	0	2	0	1	0	0	2	0	3	0
Throt6467	0	0	0	0	0	0	0	0	0	0
Throt6464	2	0	11	1	2	1	0	1	1	0
Throt6465	29	23	24	21	22	29	17	20	19	10
Throt6462	68	92	94	17	36	54	45	39	24	23
Throt6463	3	0	7	1	2	1	0	3	1	0
Throt6460	1	5	2	2	0	2	0	0	2	1
Throt15019	5	5	10	2	4	1	2	2	4	2
Throt15016	1	2	10	1	5	4	2	1	5	0
Throt15017	7	78	17	3	2	13	8	11	11	5
Throt15014	4	1	0	0	2	2	2	0	2	0
Throt15015	6390	8926	6554	3004	5811	4127	3298	4661	2260	4298
Throt12299	0	0	0	0	0	0	0	0	1	0
Throt15013	6	1	0	1	0	4	0	0	2	2
Throt6468	0	1	0	0	0	0	0	0	0	0
Throt6469	11	20	11	3	5	7	18	1	4	6
Throt7599	1	5	0	0	0	0	0	1	0	0
Throt7598	0	1	0	1	0	8	0	1	6	0
Throt11928	0	47	11	4	10	8	8	2	18	5
Throt11929	352	545	561	221	440	212	249	270	182	234
Throt11926	0	3	0	0	0	0	0	0	0	0
Throt7594	27	39	11	4	4	35	1	0	15	1
Throt11924	0	3	0	0	1	0	0	0	0	0
Throt7596	0	0	0	0	0	0	0	1	0	0
Throt11922	0	0	0	0	0	0	0	0	0	0
Throt7590	7	10	0	1	0	0	0	0	2	0
Throt7593	8	3	1	0	1	2	1	0	0	0
Throt7592	10	3	1	0	0	1	1	0	0	0
Throt18868	1	2	2	0	0	1	3	0	0	0
Throt18869	0	0	0	0	0	1	0	0	0	0
Throt18860	1	4	1	0	0	0	1	0	1	0
Throt18861	0	0	3	0	2	0	2	0	0	0
Throt18862	0	0	2	0	1	0	1	0	0	0
Throt18863	0	0	0	0	0	0	0	0	0	0
Throt18864	0	4	0	0	0	0	0	0	0	0
Throt18865	0	0	0	0	0	0	0	0	0	0
Throt18866	0	5	1	3	4	9	8	5	7	1
Throt18867	1	0	1	0	0	0	0	0	0	1
Throt21543	0	0	0	0	0	0	0	0	0	0
Throt21542	0	3	0	0	0	0	0	0	0	0
Throt21541	0	0	0	0	0	0	0	0	0	0
Throt21540	0	0	0	0	0	0	0	0	0	0
Throt21547	0	0	0	0	0	0	0	0	0	0
Throt21546	0	0	0	0	0	0	0	0	0	0
Throt21545	0	0	0	0	0	0	0	0	0	0
Throt21544	0	0	0	0	0	0	0	0	0	0
