gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10233	43	934	34	3	0	25	0	3	34	2
Skcos10234	2	165	2	3	1	0	0	0	6	0
Skcos10235	2	34	0	0	0	0	2	0	0	0
Skcos10236	7	110	1	1	1	1	1	0	1	0
Skcos10237	113	1023	13	4	6	22	9	3	24	2
Skcos10238	32	1171	19	8	10	2	0	1	4	1
Skcos10239	127	2263	48	31	28	43	15	21	62	12
Skcos1024	296	992	162	53	100	67	47	63	81	63
Skcos10240	42	127	12	1	1	2	1	4	3	3
Skcos10241	516	787	41	7	3	13	2	1	17	3
Skcos10242	6	38	2	1	0	1	0	0	1	0
Skcos10243	16	683	21	14	11	11	3	3	24	10
Skcos10244	2	403	1	4	1	3	0	0	6	1
Skcos10245	1867	589	518	10	26	110	44	57	106	74
Skcos10246	0	0	0	0	0	0	0	0	0	0
Skcos10247	0	1	0	0	0	0	0	0	0	0
Skcos10248	1	198	0	2	0	2	0	1	4	0
Skcos10249	0	33	0	0	0	0	0	0	1	0
Skcos1025	15	328	6	12	6	13	2	2	13	4
Skcos10250	0	120	1	0	0	2	0	0	0	1
Skcos10251	7	112	0	1	3	7	0	0	6	1
Skcos10252	0	2	0	0	0	0	0	0	0	0
Skcos10253	0	0	0	0	0	0	0	0	0	0
Skcos10254	0	0	0	0	0	0	0	0	0	0
Skcos10255	444	530	48	3	1	10	6	8	10	5
Skcos10256	2672	335	1751	11	72	299	192	316	304	368
Skcos10257	28	896	18	8	9	5	0	2	1	0
Skcos10258	35	445	9	6	6	2	4	4	6	0
Skcos10259	34	946	21	10	7	16	4	3	13	0
Skcos1026	112	2247	60	27	15	25	5	7	82	5
Skcos10260	40	470	2	13	3	5	2	2	7	0
Skcos10261	11081	879	1211	245	164	295	67	75	253	112
Skcos10262	210	2748	137	72	39	144	28	26	153	21
Skcos10263	38	821	10	13	0	10	1	2	7	0
Skcos10264	1750	1790	122	101	5	3	5	6	19	7
Skcos10265	16	306	0	6	0	6	0	0	8	5
Skcos10266	5	3	1	1	1	0	0	0	0	0
Skcos10267	1	29	0	0	0	1	0	0	1	0
Skcos10268	14	2	1	0	0	3	1	1	0	0
Skcos10269	39	359	5	1	0	5	0	0	4	1
Skcos1027	210	1703	60	26	13	39	12	7	58	12
Skcos10270	1	59	0	0	0	0	0	0	0	0
Skcos10271	49	829	10	6	1	5	0	0	4	0
Skcos10272	134	1138	55	10	12	9	1	0	5	5
Skcos10273	90	1044	12	13	5	32	5	6	53	13
Skcos10274	103	1723	44	27	26	94	23	21	139	48
Skcos10275	15896	2005	2055	40	122	370	134	276	327	336
Skcos10276	61	65	16	2	0	0	0	3	3	1
Skcos10277	64	111	23	1	3	6	0	0	2	3
Skcos10278	8	46	1	5	0	0	2	0	1	0
Skcos10279	26	1139	12	7	6	24	3	4	21	0
Skcos1028	1477	233	243	67	66	149	17	18	128	17
Skcos10280	24	1366	10	37	3	14	4	1	16	0
Skcos10281	29	68	0	0	0	1	0	0	0	3
Skcos10282	36	197	8	11	1	14	0	2	6	0
Skcos10283	49	758	10	4	2	1	3	1	8	0
Skcos10284	1375	231	53	34	11	85	3	7	47	14
Skcos10285	114	187	20	15	3	13	5	10	10	21
Skcos10286	14223	2926	1985	191	161	281	150	202	179	234
Skcos10287	184	1571	94	18	30	58	1	5	2	8
Skcos10288	50	753	41	24	3	14	11	10	36	25
Skcos10289	1583	1541	287	61	40	47	17	14	83	17
Skcos1029	3698	1231	876	53	61	241	101	145	239	187
Skcos10290	201	19	69	15	9	17	4	7	14	3
Skcos10291	5	1346	3	6	1	10	0	0	19	2
Skcos10292	231	3010	25	38	11	56	7	7	73	10
Skcos10293	7	103	0	3	0	0	1	0	0	1
Skcos10294	52	1316	21	7	2	19	5	3	35	2
Skcos10295	221	107	9	5	2	1	0	0	7	3
